# x_m,y_m,w_tr_right_m,w_tr_left_m
0.1874,0.0628,0.7125,0.7125
0.2004,0.0627,0.7125,0.7125
0.2135,0.0626,0.7125,0.7125
0.2265,0.0625,0.7125,0.7125
0.2395,0.0624,0.7125,0.7125
0.2525,0.0624,0.7125,0.7125
0.2656,0.0624,0.7125,0.7125
0.2786,0.0623,0.7125,0.7125
0.2916,0.0623,0.7125,0.7125
0.3046,0.0623,0.7125,0.7125
0.3176,0.0623,0.7125,0.7125
0.3306,0.0623,0.7125,0.7125
0.3436,0.0623,0.7125,0.7125
0.3566,0.0624,0.7125,0.7125
0.3695,0.0624,0.7125,0.7125
0.3825,0.0624,0.7125,0.7125
0.3955,0.0625,0.7125,0.7125
0.4085,0.0625,0.7125,0.7125
0.4215,0.0626,0.7125,0.7125
0.4345,0.0626,0.7125,0.7125
0.4475,0.0626,0.7125,0.7125
0.4604,0.0627,0.7125,0.7125
0.4734,0.0627,0.7125,0.7125
0.4864,0.0627,0.7125,0.7125
0.4994,0.0627,0.7125,0.7125
0.5124,0.0628,0.7125,0.7125
0.5254,0.0628,0.7125,0.7125
0.5384,0.0628,0.7125,0.7125
0.5514,0.0627,0.7125,0.7125
0.5644,0.0627,0.7125,0.7125
0.5774,0.0627,0.7125,0.7125
0.5905,0.0626,0.7125,0.7125
0.6035,0.0625,0.7125,0.7125
0.6165,0.0625,0.7125,0.7125
0.6296,0.0624,0.7125,0.7125
0.6426,0.0622,0.7125,0.7125
0.6557,0.0621,0.7125,0.7125
0.6687,0.0619,0.7125,0.7125
0.6818,0.0617,0.7125,0.7125
0.6949,0.0615,0.7125,0.7125
0.7079,0.0615,0.7125,0.7125
0.7207,0.0620,0.7125,0.7125
0.7332,0.0633,0.7125,0.7125
0.7451,0.0658,0.7125,0.7125
0.7565,0.0697,0.7125,0.7125
0.7679,0.0735,0.7125,0.7125
0.7802,0.0753,0.7124,0.7124
0.7935,0.0749,0.7128,0.7128
0.8065,0.0749,0.7126,0.7126
0.8163,0.0780,0.7094,0.7094
0.8236,0.0838,0.7036,0.7036
0.8321,0.0883,0.6992,0.6992
0.8451,0.0883,0.6994,0.6994
0.8593,0.0871,0.7005,0.7005
0.8722,0.0872,0.7002,0.7002
0.8848,0.0875,0.6998,0.6998
0.8977,0.0876,0.6997,0.6997
0.9107,0.0876,0.6998,0.6998
0.9237,0.0876,0.7001,0.7001
0.9368,0.0875,0.7003,0.7003
0.9499,0.0875,0.7003,0.7003
0.9629,0.0875,0.7003,0.7003
0.9759,0.0874,0.7002,0.7002
0.9889,0.0874,0.7000,0.7000
1.0019,0.0875,0.6999,0.6999
1.0148,0.0875,0.6997,0.6997
1.0278,0.0875,0.6996,0.6996
1.0408,0.0875,0.6995,0.6995
1.0538,0.0875,0.6995,0.6995
1.0668,0.0875,0.6997,0.6997
1.0798,0.0875,0.7000,0.7000
1.0928,0.0875,0.7005,0.7005
1.1059,0.0875,0.7010,0.7010
1.1189,0.0875,0.7016,0.7016
1.1318,0.0875,0.7022,0.7022
1.1448,0.0875,0.7028,0.7028
1.1576,0.0875,0.7033,0.7033
1.1705,0.0875,0.7038,0.7038
1.1832,0.0875,0.7042,0.7042
1.1959,0.0875,0.7041,0.7041
1.2085,0.0875,0.7032,0.7032
1.2210,0.0875,0.7009,0.7009
1.2335,0.0875,0.6979,0.6979
1.2462,0.0875,0.6951,0.6951
1.2589,0.0875,0.6930,0.6930
1.2717,0.0875,0.6914,0.6914
1.2846,0.0875,0.6903,0.6903
1.2976,0.0875,0.6894,0.6894
1.3105,0.0875,0.6888,0.6888
1.3235,0.0875,0.6883,0.6883
1.3365,0.0875,0.6879,0.6879
1.3494,0.0875,0.6877,0.6877
1.3624,0.0875,0.6875,0.6875
1.3754,0.0875,0.6874,0.6874
1.3884,0.0875,0.6874,0.6874
1.4014,0.0875,0.6874,0.6874
1.4144,0.0875,0.6874,0.6874
1.4275,0.0875,0.6875,0.6875
1.4405,0.0875,0.6875,0.6875
1.4535,0.0874,0.6875,0.6875
1.4665,0.0874,0.6875,0.6875
